Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety,Year,Month,Day,DayOfWeek
2003-06-16,Potato,24,Bhagalpur,FAQ,Bhagalpur,460,350,380,Bihar,Desi,2003,6,16,0
2003-06-16,Masur Dal,259,Bhagalpur,FAQ,Bhagalpur,1970,1840,1900,Bihar,Masoor Gola,2003,6,16,0
2003-06-16,Big Gram,113,Bhagalpur,FAQ,Bhagalpur,1900,1740,1830,Bihar,Other,2003,6,16,0
2003-06-16,Onion,23,Bhagalpur,FAQ,Bhagalpur,520,470,490,Bihar,Pusa-Red,2003,6,16,0
2003-06-16,Mustard Oil,324,Bhagalpur,FAQ,Bhagalpur,6100,5700,5840,Bihar,Other,2003,6,16,0
2003-06-16,Wheat,1,Bhagalpur,FAQ,Bhagalpur,740,555,630,Bihar,Deshi,2003,6,16,0
2003-06-16,Rice,3,Bhagalpur,FAQ,Bhagalpur,1120,960,1010,Bihar,Medium,2003,6,16,0
2003-06-17,Arhar (Tur/Red Gram)(Whole),49,Bhagalpur,FAQ,Bhagalpur,2715,2490,2600,Bihar,Arhar Dal(Tur),2003,6,17,1
2003-06-17,Potato,24,Bhagalpur,FAQ,Bhagalpur,460,350,385,Bihar,Desi,2003,6,17,1
2003-06-17,Wheat,1,Bhagalpur,FAQ,Bhagalpur,745,550,660,Bihar,Deshi,2003,6,17,1
2003-06-17,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,740,490,530,Bihar,Paddy fine,2003,6,17,1
2003-06-17,Big Gram,113,Bhagalpur,FAQ,Bhagalpur,1885,1440,1830,Bihar,Other,2003,6,17,1
2003-06-17,Bengal Gram(Gram)(Whole),6,Bhagalpur,FAQ,Bhagalpur,2045,1950,2030,Bihar,Desi (F.A.Q. Split),2003,6,17,1
2003-06-17,Rice,3,Bhagalpur,FAQ,Bhagalpur,1125,960,1010,Bihar,Medium,2003,6,17,1
2003-06-17,Mustard Oil,324,Bhagalpur,FAQ,Bhagalpur,6150,5700,5825,Bihar,Other,2003,6,17,1
2003-06-17,Onion,23,Bhagalpur,FAQ,Bhagalpur,510,440,490,Bihar,Pusa-Red,2003,6,17,1
2003-06-18,Arhar (Tur/Red Gram)(Whole),49,Bhagalpur,FAQ,Bhagalpur,2710,2500,2600,Bihar,Arhar Dal(Tur),2003,6,18,2
2003-06-18,Wheat,1,Bhagalpur,FAQ,Bhagalpur,750,550,660,Bihar,Deshi,2003,6,18,2
2003-06-18,Big Gram,113,Bhagalpur,FAQ,Bhagalpur,1900,1735,1830,Bihar,Other,2003,6,18,2
2003-06-18,Mustard Oil,324,Bhagalpur,FAQ,Bhagalpur,6150,5700,5825,Bihar,Other,2003,6,18,2
2003-06-18,Masur Dal,259,Bhagalpur,FAQ,Bhagalpur,2000,1840,1900,Bihar,Masoor Gola,2003,6,18,2
2003-06-18,Onion,23,Bhagalpur,FAQ,Bhagalpur,510,440,490,Bihar,Pusa-Red,2003,6,18,2
2003-06-18,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,730,500,530,Bihar,Paddy fine,2003,6,18,2
2003-06-18,Potato,24,Bhagalpur,FAQ,Bhagalpur,460,350,385,Bihar,Desi,2003,6,18,2
2003-06-18,Rice,3,Bhagalpur,FAQ,Bhagalpur,1140,970,1010,Bihar,Medium,2003,6,18,2
2003-06-18,Bengal Gram(Gram)(Whole),6,Bhagalpur,FAQ,Bhagalpur,2050,1960,2030,Bihar,Desi (F.A.Q. Split),2003,6,18,2
2003-06-20,Masur Dal,259,Bhagalpur,FAQ,Bhagalpur,2015,1865,1900,Bihar,Masoor Gola,2003,6,20,4
2003-06-20,Arhar (Tur/Red Gram)(Whole),49,Bhagalpur,FAQ,Bhagalpur,2700,2515,2600,Bihar,Arhar Dal(Tur),2003,6,20,4
